"Year","County","Commodity","Crop","ACRES HARVESTED","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
"1964","RENVILLE","WHEAT","WHEAT","15,700","378,400","24.1"
"1964","RENVILLE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","15,500","372,000","24"
"1964","RENVILLE","WHEAT","WHEAT, SPRING, DURUM","200","6,400","32"
"1964","RICE","CORN","CORN, GRAIN","60,900","4,141,200","68"
"1964","RICE","HAY","HAY","41,800","N/A","N/A"
"1964","RICE","HAY","HAY, ALFALFA","35,900","N/A","N/A"
"1964","RICE","OATS","OATS","27,100","1,544,700","57"
"1964","RICE","SOYBEANS","SOYBEANS","29,300","673,900","23"
"1964","RICE","WHEAT","WHEAT","6,700","149,600","22.3"
"1964","RICE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","6,500","143,000","22"
"1964","RICE","WHEAT","WHEAT, SPRING, DURUM","200","6,600","33"
"1964","ROCK","CORN","CORN, GRAIN","101,100","6,369,300","63"
"1964","ROCK","FLAXSEED","FLAXSEED","700","8,400","12"
"1964","ROCK","HAY","HAY","31,900","N/A","N/A"
"1964","ROCK","HAY","HAY, ALFALFA","25,000","N/A","N/A"
"1964","ROCK","OATS","OATS","26,100","1,174,500","45"
"1964","ROCK","SOYBEANS","SOYBEANS","33,200","697,200","21"
"1964","ROCK","WHEAT","WHEAT","100","2,100","21"
"1964","ROCK","WHEAT","WHEAT, SPRING, (EXCL DURUM)","100","2,100","21"
"1964","ROSEAU","BARLEY","BARLEY","6,400","115,200","18"
"1964","ROSEAU","CORN","CORN, GRAIN","700","14,700","21"
"1964","ROSEAU","FLAXSEED","FLAXSEED","37,800","226,800","6"
"1964","ROSEAU","HAY","HAY","73,000","N/A","N/A"
"1964","ROSEAU","HAY","HAY, ALFALFA","29,400","N/A","N/A"
"1964","ROSEAU","OATS","OATS","78,800","3,309,600","42"
"1964","ROSEAU","RYE","RYE","3,100","46,500","15"
"1964","ROSEAU","SOYBEANS","SOYBEANS","100","800","8"
"1964","ROSEAU","WHEAT","WHEAT","21,600","391,200","18.1"
"1964","ROSEAU","WHEAT","WHEAT, SPRING, (EXCL DURUM)","20,300","365,400","18"
"1964","ROSEAU","WHEAT","WHEAT, SPRING, DURUM","1,300","25,800","19.8"
"1964","SCOTT","BARLEY","BARLEY","200","7,400","37"
"1964","SCOTT","CORN","CORN, GRAIN","37,800","2,494,800","66"
"1964","SCOTT","HAY","HAY","33,900","N/A","N/A"
"1964","SCOTT","HAY","HAY, ALFALFA","28,400","N/A","N/A"
"1964","SCOTT","OATS","OATS","19,200","1,113,600","58"
"1964","SCOTT","SOYBEANS","SOYBEANS","13,100","262,000","20"
"1964","SCOTT","WHEAT","WHEAT","3,100","80,500","26"
"1964","SCOTT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,600","65,000","25"
"1964","SCOTT","WHEAT","WHEAT, SPRING, DURUM","500","15,500","31"
"1964","SHERBURNE","CORN","CORN, GRAIN","8,500","272,000","32"
"1964","SHERBURNE","HAY","HAY","24,700","N/A","N/A"
"1964","SHERBURNE","HAY","HAY, ALFALFA","17,900","N/A","N/A"
"1964","SHERBURNE","OATS","OATS","4,700","122,200","26"
"1964","SHERBURNE","RYE","RYE","13,100","235,800","18"
"1964","SHERBURNE","SOYBEANS","SOYBEANS","20,400","265,200","13"
"1964","SHERBURNE","WHEAT","WHEAT","200","3,200","16"
"1964","SHERBURNE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","100","1,500","15"
"1964","SHERBURNE","WHEAT","WHEAT, SPRING, DURUM","100","1,700","17"
"1964","SIBLEY","BARLEY","BARLEY","700","26,600","38"
"1964","SIBLEY","CORN","CORN, GRAIN","95,500","7,067,000","74"
"1964","SIBLEY","HAY","HAY","39,100","N/A","N/A"
"1964","SIBLEY","HAY","HAY, ALFALFA","30,600","N/A","N/A"
"1964","SIBLEY","OATS","OATS","37,200","2,157,600","58"
"1964","SIBLEY","RYE","RYE","500","13,000","26"
"1964","SIBLEY","SOYBEANS","SOYBEANS","57,600","1,382,400","24"
"1964","SIBLEY","SUGARBEETS","SUGARBEETS","2,500","N/A","N/A"
"1964","SIBLEY","WHEAT","WHEAT","10,400","254,800","24.5"
"1964","SIBLEY","WHEAT","WHEAT, SPRING, (EXCL DURUM)","9,100","218,400","24"
"1964","SIBLEY","WHEAT","WHEAT, SPRING, DURUM","1,300","36,400","28"
"1964","ST. LOUIS","BARLEY","BARLEY","300","7,200","24"
"1964","ST. LOUIS","FLAXSEED","FLAXSEED","400","2,000","5"
"1964","ST. LOUIS","HAY","HAY","53,500","N/A","N/A"
"1964","ST. LOUIS","HAY","HAY, ALFALFA","1,500","N/A","N/A"
"1964","ST. LOUIS","OATS","OATS","6,900","282,900","41"
"1964","ST. LOUIS","WHEAT","WHEAT","200","3,800","19"
"1964","ST. LOUIS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","200","3,800","19"
"1964","STEARNS","BARLEY","BARLEY","400","13,600","34"
"1964","STEARNS","CORN","CORN, GRAIN","69,300","2,356,200","34"
"1964","STEARNS","FLAXSEED","FLAXSEED","600","5,400","9"
"1964","STEARNS","HAY","HAY","146,700","N/A","N/A"
"1964","STEARNS","HAY","HAY, ALFALFA","99,000","N/A","N/A"
"1964","STEARNS","OATS","OATS","125,200","4,882,800","39"
"1964","STEARNS","RYE","RYE","1,900","26,600","14"
"1964","STEARNS","SOYBEANS","SOYBEANS","21,000","252,000","12"
"1964","STEARNS","WHEAT","WHEAT","900","17,100","19"
"1964","STEARNS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","900","17,100","19"
"1964","STEELE","BARLEY","BARLEY","100","3,800","38"
"1964","STEELE","CORN","CORN, GRAIN","65,300","4,179,200","64"
"1964","STEELE","HAY","HAY","36,400","N/A","N/A"
"1964","STEELE","HAY","HAY, ALFALFA","33,300","N/A","N/A"
"1964","STEELE","OATS","OATS","30,000","1,830,000","61"
"1964","STEELE","SOYBEANS","SOYBEANS","28,800","633,600","22"
"1964","STEELE","WHEAT","WHEAT","3,300","69,300","21"
"1964","STEELE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","3,300","69,300","21"
"1964","STEVENS","BARLEY","BARLEY","9,900","405,900","41"
"1964","STEVENS","CORN","CORN, GRAIN","81,600","2,937,600","36"
"1964","STEVENS","FLAXSEED","FLAXSEED","14,100","169,200","12"
"1964","STEVENS","HAY","HAY","21,300","N/A","N/A"
"1964","STEVENS","HAY","HAY, ALFALFA","17,500","N/A","N/A"
"1964","STEVENS","OATS","OATS","56,600","2,716,800","48"
"1964","STEVENS","SOYBEANS","SOYBEANS","37,300","447,600","12"
"1964","STEVENS","WHEAT","WHEAT","17,300","346,100","20"
"1964","STEVENS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","17,200","344,000","20"
"1964","STEVENS","WHEAT","WHEAT, SPRING, DURUM","100","2,100","21"
"1964","SWIFT","BARLEY","BARLEY","3,600","151,200","42"
"1964","SWIFT","CORN","CORN, GRAIN","106,700","4,054,600","38"
"1964","SWIFT","FLAXSEED","FLAXSEED","11,500","126,500","11"
"1964","SWIFT","HAY","HAY","34,700","N/A","N/A"
"1964","SWIFT","HAY","HAY, ALFALFA","22,300","N/A","N/A"
"1964","SWIFT","OATS","OATS","48,400","1,839,200","38"
"1964","SWIFT","SOYBEANS","SOYBEANS","75,700","1,059,800","14"
"1964","SWIFT","SUGARBEETS","SUGARBEETS","4,100","N/A","N/A"
"1964","SWIFT","WHEAT","WHEAT","9,700","174,600","18"
"1964","SWIFT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","9,700","174,600","18"
"1964","TODD","BARLEY","BARLEY","200","5,600","28"
"1964","TODD","CORN","CORN, GRAIN","34,200","1,368,000","40"
"1964","TODD","FLAXSEED","FLAXSEED","100","700","7"
"1964","TODD","HAY","HAY","83,300","N/A","N/A"
"1964","TODD","HAY","HAY, ALFALFA","61,200","N/A","N/A"
"1964","TODD","OATS","OATS","58,300","2,448,600","42"
"1964","TODD","SOYBEANS","SOYBEANS","5,200","62,400","12"
"1964","TODD","WHEAT","WHEAT","1,000","16,000","16"
"1964","TODD","WHEAT","WHEAT, SPRING, (EXCL DURUM)","900","14,400","16"
"1964","TODD","WHEAT","WHEAT, SPRING, DURUM","100","1,600","16"
"1964","TRAVERSE","BARLEY","BARLEY","20,200","626,200","31"
"1964","TRAVERSE","CORN","CORN, GRAIN","45,200","2,034,000","45"
"1964","TRAVERSE","FLAXSEED","FLAXSEED","34,400","412,800","12"
"1964","TRAVERSE","HAY","HAY","18,400","N/A","N/A"
"1964","TRAVERSE","HAY","HAY, ALFALFA","14,800","N/A","N/A"
"1964","TRAVERSE","OATS","OATS","72,900","3,134,700","43"
"1964","TRAVERSE","RYE","RYE","3,600","86,400","24"
"1964","TRAVERSE","SOYBEANS","SOYBEANS","43,000","516,000","12"
"1964","TRAVERSE","WHEAT","WHEAT","27,400","521,400","19"
"1964","TRAVERSE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","27,000","513,000","19"
"1964","TRAVERSE","WHEAT","WHEAT, SPRING, DURUM","400","8,400","21"
"1964","WADENA","CORN","CORN, GRAIN","10,300","391,400","38"
"1964","WADENA","HAY","HAY","37,000","N/A","N/A"
"1964","WADENA","HAY","HAY, ALFALFA","16,200","N/A","N/A"
"1964","WADENA","OATS","OATS","10,000","350,000","35"
"1964","WADENA","SOYBEANS","SOYBEANS","600","6,600","11"
"1964","WASECA","CORN","CORN, GRAIN","82,700","7,029,500","85"
"1964","WASECA","HAY","HAY","21,100","N/A","N/A"
"1964","WASECA","HAY","HAY, ALFALFA","19,100","N/A","N/A"
"1964","WASECA","OATS","OATS","16,500","1,072,500","65"
"1964","WASECA","SOYBEANS","SOYBEANS","41,800","1,128,600","27"
"1964","WASECA","SUGARBEETS","SUGARBEETS","1,000","N/A","N/A"
"1964","WASECA","WHEAT","WHEAT","9,300","233,100","25.1"
"1964","WASECA","WHEAT","WHEAT, SPRING, (EXCL DURUM)","9,100","227,500","25"
"1964","WASECA","WHEAT","WHEAT, SPRING, DURUM","200","5,600","28"
"1964","WASHINGTON","BARLEY","BARLEY","200","7,000","35"
"1964","WASHINGTON","CORN","CORN, GRAIN","13,900","500,400","36"
"1964","WASHINGTON","HAY","HAY","29,300","N/A","N/A"
"1964","WASHINGTON","HAY","HAY, ALFALFA","25,200","N/A","N/A"
"1964","WASHINGTON","OATS","OATS","15,500","651,000","42"
"1964","WASHINGTON","SOYBEANS","SOYBEANS","10,600","169,600","16"
"1964","WASHINGTON","WHEAT","WHEAT","700","16,100","23"
"1964","WASHINGTON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","700","16,100","23"
"1964","WATONWAN","CORN","CORN, GRAIN","93,400","6,818,200","73"
"1964","WATONWAN","FLAXSEED","FLAXSEED","300","3,300","11"
"1964","WATONWAN","HAY","HAY","17,300","N/A","N/A"
"1964","WATONWAN","HAY","HAY, ALFALFA","14,600","N/A","N/A"
"1964","WATONWAN","OATS","OATS","13,200","726,000","55"
"1964","WATONWAN","SOYBEANS","SOYBEANS","60,800","1,520,000","25"
"1964","WATONWAN","SUGARBEETS","SUGARBEETS","1,000","N/A","N/A"
"1964","WATONWAN","WHEAT","WHEAT","500","10,000","20"
"1964","WATONWAN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","500","10,000","20"
"1964","WILKIN","BARLEY","BARLEY","47,300","1,750,100","37"
"1964","WILKIN","CORN","CORN, GRAIN","32,100","1,348,200","42"
"1964","WILKIN","FLAXSEED","FLAXSEED","10,200","102,000","10"
"1964","WILKIN","HAY","HAY","33,000","N/A","N/A"
"1964","WILKIN","HAY","HAY, ALFALFA","21,800","N/A","N/A"
"1964","WILKIN","OATS","OATS","85,600","4,194,400","49"
"1964","WILKIN","RYE","RYE","2,500","65,000","26"
"1964","WILKIN","SOYBEANS","SOYBEANS","63,700","955,500","15"
"1964","WILKIN","SUGARBEETS","SUGARBEETS","1,400","N/A","N/A"
"1964","WILKIN","WHEAT","WHEAT","58,700","1,236,900","21.1"
"1964","WILKIN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","56,600","1,188,600","21"
"1964","WILKIN","WHEAT","WHEAT, SPRING, DURUM","2,100","48,300","23"
"1964","WRIGHT","BARLEY","BARLEY","100","3,300","33"
"1964","WRIGHT","CORN","CORN, GRAIN","57,600","2,649,600","46"
"1964","WRIGHT","HAY","HAY","60,000","N/A","N/A"
"1964","WRIGHT","HAY","HAY, ALFALFA","51,800","N/A","N/A"
"1964","WRIGHT","OATS","OATS","31,000","1,395,000","45"
"1964","WRIGHT","SOYBEANS","SOYBEANS","24,900","398,400","16"
"1964","WRIGHT","WHEAT","WHEAT","2,600","54,800","21.1"
"1964","WRIGHT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,400","50,400","21"
"1964","WRIGHT","WHEAT","WHEAT, SPRING, DURUM","200","4,400","22"
"1964","YELLOW MEDICINE","BARLEY","BARLEY","200","6,400","32"
"1964","YELLOW MEDICINE","CORN","CORN, GRAIN","140,200","7,290,400","52"
"1964","YELLOW MEDICINE","FLAXSEED","FLAXSEED","20,600","247,200","12"
"1964","YELLOW MEDICINE","HAY","HAY","29,200","N/A","N/A"
"1964","YELLOW MEDICINE","HAY","HAY, ALFALFA","22,600","N/A","N/A"
"1964","YELLOW MEDICINE","OATS","OATS","34,500","1,414,500","41"
"1964","YELLOW MEDICINE","SOYBEANS","SOYBEANS","90,200","1,804,000","20"
"1964","YELLOW MEDICINE","SUGARBEETS","SUGARBEETS","1,300","N/A","N/A"
"1964","YELLOW MEDICINE","WHEAT","WHEAT","7,300","159,200","21.8"
"1964","YELLOW MEDICINE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","6,200","124,000","20"
"1964","YELLOW MEDICINE","WHEAT","WHEAT, SPRING, DURUM","1,100","35,200","32"
"1965","AITKIN","BARLEY","BARLEY","100","2,600","26"
"1965","AITKIN","CORN","CORN, GRAIN","200","7,000","35"
"1965","AITKIN","HAY","HAY","52,700","N/A","N/A"
"1965","AITKIN","HAY","HAY, ALFALFA","12,700","N/A","N/A"
"1965","AITKIN","OATS","OATS","4,100","139,400","34"
"1965","AITKIN","SOYBEANS","SOYBEANS","100","800","8"
"1965","AITKIN","WHEAT","WHEAT","100","2,000","20"
"1965","AITKIN","WHEAT","WHEAT, SPRING, DURUM","100","2,000","20"
"1965","ANOKA","CORN","CORN, GRAIN","9,500","522,500","55"
"1965","ANOKA","HAY","HAY","13,200","N/A","N/A"
"1965","ANOKA","HAY","HAY, ALFALFA","10,600","N/A","N/A"
"1965","ANOKA","OATS","OATS","1,900","85,500","45"
"1965","ANOKA","RYE","RYE","2,800","56,000","20"
"1965","ANOKA","SOYBEANS","SOYBEANS","7,600","68,400","9"
"1965","ANOKA","WHEAT","WHEAT","100","2,000","20"
"1965","ANOKA","WHEAT","WHEAT, SPRING, DURUM","100","2,000","20"
"1965","BECKER","BARLEY","BARLEY","15,900","747,300","47"
"1965","BECKER","CORN","CORN, GRAIN","7,100","227,200","32"
"1965","BECKER","FLAXSEED","FLAXSEED","7,200","93,600","13"
"1965","BECKER","HAY","HAY","73,600","N/A","N/A"
"1965","BECKER","HAY","HAY, ALFALFA","52,600","N/A","N/A"
"1965","BECKER","OATS","OATS","68,400","3,351,600","49"
"1965","BECKER","SOYBEANS","SOYBEANS","11,400","136,800","12"
"1965","BECKER","WHEAT","WHEAT","13,300","374,000","28.1"
"1965","BECKER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","12,900","361,200","28"
"1965","BECKER","WHEAT","WHEAT, SPRING, DURUM","400","12,800","32"
"1965","BELTRAMI","BARLEY","BARLEY","400","10,400","26"
"1965","BELTRAMI","FLAXSEED","FLAXSEED","2,400","19,200","8"
"1965","BELTRAMI","HAY","HAY","48,200","N/A","N/A"
"1965","BELTRAMI","HAY","HAY, ALFALFA","26,400","N/A","N/A"
"1965","BELTRAMI","OATS","OATS","17,100","684,000","40"
"1965","BELTRAMI","SOYBEANS","SOYBEANS","100","900","9"
"1965","BELTRAMI","WHEAT","WHEAT","700","16,800","24"
"1965","BELTRAMI","WHEAT","WHEAT, SPRING, (EXCL DURUM)","700","16,800","24"
"1965","BENTON","BARLEY","BARLEY","100","3,100","31"
"1965","BENTON","CORN","CORN, GRAIN","10,100","454,500","45"
"1965","BENTON","HAY","HAY","39,600","N/A","N/A"
"1965","BENTON","HAY","HAY, ALFALFA","19,900","N/A","N/A"
"1965","BENTON","OATS","OATS","19,200","633,600","33"
"1965","BENTON","RYE","RYE","1,900","28,500","15"
"1965","BENTON","SOYBEANS","SOYBEANS","6,400","44,800","7"
"1965","BIG STONE","BARLEY","BARLEY","3,600","176,400","49"
"1965","BIG STONE","CORN","CORN, GRAIN","45,400","1,952,200","43"
"1965","BIG STONE","FLAXSEED","FLAXSEED","25,200","378,000","15"
"1965","BIG STONE","HAY","HAY","20,100","N/A","N/A"
"1965","BIG STONE","HAY","HAY, ALFALFA","14,800","N/A","N/A"
"1965","BIG STONE","OATS","OATS","38,400","2,227,200","58"
"1965","BIG STONE","RYE","RYE","4,800","100,800","21"
"1965","BIG STONE","SOYBEANS","SOYBEANS","26,000","390,000","15"
"1965","BIG STONE","SUGARBEETS","SUGARBEETS","1,400","N/A","N/A"
"1965","BIG STONE","WHEAT","WHEAT","15,500","297,100","19.2"
"1965","BIG STONE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","15,100","286,900","19"
"1965","BIG STONE","WHEAT","WHEAT, SPRING, DURUM","400","10,200","25.5"
"1965","BLUE EARTH","BARLEY","BARLEY","100","4,400","44"
"1965","BLUE EARTH","CORN","CORN, GRAIN","139,400","10,036,800","72"
"1965","BLUE EARTH","FLAXSEED","FLAXSEED","800","12,800","16"
"1965","BLUE EARTH","HAY","HAY","21,400","N/A","N/A"
"1965","BLUE EARTH","HAY","HAY, ALFALFA","17,800","N/A","N/A"
"1965","BLUE EARTH","OATS","OATS","18,500","1,017,500","55"
"1965","BLUE EARTH","SOYBEANS","SOYBEANS","136,400","3,000,800","22"
"1965","BLUE EARTH","WHEAT","WHEAT","2,900","68,800","23.7"
"1965","BLUE EARTH","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,400","57,600","24"
"1965","BLUE EARTH","WHEAT","WHEAT, SPRING, DURUM","500","11,200","22.4"
"1965","BROWN","BARLEY","BARLEY","200","8,400","42"
"1965","BROWN","CORN","CORN, GRAIN","99,600","6,474,000","65"
"1965","BROWN","FLAXSEED","FLAXSEED","100","1,400","14"
"1965","BROWN","HAY","HAY","30,500","N/A","N/A"
"1965","BROWN","HAY","HAY, ALFALFA","25,700","N/A","N/A"
"1965","BROWN","OATS","OATS","22,500","1,215,000","54"
"1965","BROWN","SOYBEANS","SOYBEANS","78,100","1,483,900","19"
"1965","BROWN","WHEAT","WHEAT","1,300","28,500","21.9"
"1965","BROWN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","1,000","22,000","22"
"1965","BROWN","WHEAT","WHEAT, SPRING, DURUM","300","6,500","21.7"
"1965","CARLTON","BARLEY","BARLEY","200","6,400","32"
"1965","CARLTON","FLAXSEED","FLAXSEED","100","1,100","11"
"1965","CARLTON","HAY","HAY","53,200","N/A","N/A"
"1965","CARLTON","HAY","HAY, ALFALFA","9,400","N/A","N/A"
"1965","CARLTON","OATS","OATS","5,400","237,600","44"
"1965","CARVER","BARLEY","BARLEY","100","3,100","31"
"1965","CARVER","CORN","CORN, GRAIN","32,300","2,196,400","68"
"1965","CARVER","HAY","HAY","46,700","N/A","N/A"
"1965","CARVER","HAY","HAY, ALFALFA","37,700","N/A","N/A"
"1965","CARVER","OATS","OATS","17,000","884,000","52"
"1965","CARVER","SOYBEANS","SOYBEANS","7,300","124,100","17"
"1965","CARVER","WHEAT","WHEAT","600","11,400","19"
"1965","CARVER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","600","11,400","19"
"1965","CASS","BARLEY","BARLEY","100","2,600","26"
"1965","CASS","CORN","CORN, GRAIN","1,000","21,000","21"
"1965","CASS","HAY","HAY","49,100","N/A","N/A"
"1965","CASS","HAY","HAY, ALFALFA","10,500","N/A","N/A"
"1965","CASS","OATS","OATS","5,100","153,000","30"
"1965","CASS","SOYBEANS","SOYBEANS","500","4,000","8"
"1965","CHIPPEWA","BARLEY","BARLEY","3,600","172,800","48"
"1965","CHIPPEWA","CORN","CORN, GRAIN","95,900","4,890,900","51"
"1965","CHIPPEWA","FLAXSEED","FLAXSEED","8,100","137,700","17"
"1965","CHIPPEWA","HAY","HAY","19,000","N/A","N/A"
"1965","CHIPPEWA","HAY","HAY, ALFALFA","15,300","N/A","N/A"
"1965","CHIPPEWA","OATS","OATS","29,100","1,571,400","54"
"1965","CHIPPEWA","RYE","RYE","1,100","22,000","20"
"1965","CHIPPEWA","SOYBEANS","SOYBEANS","81,900","1,310,400","16"
"1965","CHIPPEWA","SUGARBEETS","SUGARBEETS","5,400","N/A","N/A"
"1965","CHIPPEWA","WHEAT","WHEAT","4,600","84,800","18.4"
"1965","CHIPPEWA","WHEAT","WHEAT, SPRING, (EXCL DURUM)","4,200","75,600","18"
"1965","CHIPPEWA","WHEAT","WHEAT, SPRING, DURUM","400","9,200","23"
"1965","CHISAGO","CORN","CORN, GRAIN","14,100","831,900","59"
"1965","CHISAGO","HAY","HAY","26,600","N/A","N/A"
"1965","CHISAGO","HAY","HAY, ALFALFA","20,700","N/A","N/A"
"1965","CHISAGO","OATS","OATS","11,500","586,500","51"
"1965","CHISAGO","RYE","RYE","3,200","51,200","16"
"1965","CHISAGO","SOYBEANS","SOYBEANS","11,500","103,500","9"
"1965","CHISAGO","WHEAT","WHEAT","100","2,100","21"
"1965","CHISAGO","WHEAT","WHEAT, SPRING, DURUM","100","2,100","21"
"1965","CLAY","BARLEY","BARLEY","63,800","3,062,400","48"
"1965","CLAY","CORN","CORN, GRAIN","14,900","610,900","41"
"1965","CLAY","FLAXSEED","FLAXSEED","9,100","127,400","14"
"1965","CLAY","HAY","HAY","44,400","N/A","N/A"
"1965","CLAY","HAY","HAY, ALFALFA","29,200","N/A","N/A"
"1965","CLAY","OATS","OATS","83,700","5,022,000","60"
"1965","CLAY","SOYBEANS","SOYBEANS","79,300","1,348,100","17"
"1965","CLAY","SUGARBEETS","SUGARBEETS","19,700","N/A","N/A"
"1965","CLAY","WHEAT","WHEAT","71,300","2,180,400","30.6"
"1965","CLAY","WHEAT","WHEAT, SPRING, (EXCL DURUM)","60,700","1,821,000","30"
"1965","CLAY","WHEAT","WHEAT, SPRING, DURUM","10,600","359,400","33.9"
"1965","CLEARWATER","BARLEY","BARLEY","1,300","50,700","39"
"1965","CLEARWATER","CORN","CORN, GRAIN","200","6,000","30"
"1965","CLEARWATER","FLAXSEED","FLAXSEED","2,600","31,200","12"
"1965","CLEARWATER","HAY","HAY","44,200","N/A","N/A"
"1965","CLEARWATER","HAY","HAY, ALFALFA","28,800","N/A","N/A"
"1965","CLEARWATER","OATS","OATS","24,800","1,091,200","44"
"1965","CLEARWATER","SOYBEANS","SOYBEANS","100","500","5"
"1965","CLEARWATER","WHEAT","WHEAT","3,900","98,100","25.2"
"1965","CLEARWATER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","3,600","90,000","25"
"1965","CLEARWATER","WHEAT","WHEAT, SPRING, DURUM","300","8,100","27"
"1965","COOK","HAY","HAY","400","N/A","N/A"
"1965","COOK","HAY","HAY, ALFALFA","100","N/A","N/A"
"1965","COTTONWOOD","BARLEY","BARLEY","100","3,500","35"
"1965","COTTONWOOD","CORN","CORN, GRAIN","122,200","7,087,600","58"
"1965","COTTONWOOD","FLAXSEED","FLAXSEED","1,600","22,400","14"
"1965","COTTONWOOD","HAY","HAY","24,200","N/A","N/A"
"1965","COTTONWOOD","HAY","HAY, ALFALFA","20,900","N/A","N/A"
"1965","COTTONWOOD","OATS","OATS","15,700","879,200","56"
"1965","COTTONWOOD","SOYBEANS","SOYBEANS","105,600","1,795,200","17"
"1965","COTTONWOOD","WHEAT","WHEAT","300","6,900","23"
"1965","COTTONWOOD","WHEAT","WHEAT, SPRING, (EXCL DURUM)","300","6,900","23"
"1965","CROW WING","CORN","CORN, GRAIN","4,100","114,800","28"
"1965","CROW WING","HAY","HAY","29,100","N/A","N/A"
"1965","CROW WING","HAY","HAY, ALFALFA","11,600","N/A","N/A"
"1965","CROW WING","OATS","OATS","5,700","193,800","34"
"1965","CROW WING","SOYBEANS","SOYBEANS","2,100","16,800","8"
"1965","DOUGLAS","BARLEY","BARLEY","4,400","184,800","42"
"1965","DOUGLAS","CORN","CORN, GRAIN","24,400","951,600","39"
"1965","DOUGLAS","FLAXSEED","FLAXSEED","4,700","56,400","12"
"1965","DOUGLAS","HAY","HAY","54,900","N/A","N/A"
"1965","DOUGLAS","HAY","HAY, ALFALFA","43,700","N/A","N/A"
"1965","DOUGLAS","OATS","OATS","51,800","2,745,400","53"
"1965","DOUGLAS","SOYBEANS","SOYBEANS","14,500","145,000","10"
"1965","DOUGLAS","WHEAT","WHEAT","10,900","218,000","20"
"1965","DOUGLAS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","10,600","212,000","20"
"1965","DOUGLAS","WHEAT","WHEAT, SPRING, DURUM","300","6,000","20"
"1965","FARIBAULT","BARLEY","BARLEY","100","4,000","40"
"1965","FARIBAULT","CORN","CORN, GRAIN","139,300","10,447,500","75"
"1965","FARIBAULT","FLAXSEED","FLAXSEED","200","3,000","15"
"1965","FARIBAULT","HAY","HAY","18,200","N/A","N/A"
"1965","FARIBAULT","HAY","HAY, ALFALFA","16,700","N/A","N/A"
"1965","FARIBAULT","OATS","OATS","18,300","1,079,700","59"
"1965","FARIBAULT","SOYBEANS","SOYBEANS","130,000","3,250,000","25"
"1965","FARIBAULT","SUGARBEETS","SUGARBEETS","2,800","N/A","N/A"
"1965","FARIBAULT","WHEAT","WHEAT","1,000","27,500","27.5"
"1965","FARIBAULT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","800","23,200","29"
"1965","FARIBAULT","WHEAT","WHEAT, SPRING, DURUM","200","4,300","21.5"
"1965","FREEBORN","BARLEY","BARLEY","100","4,000","40"
"1965","FREEBORN","CORN","CORN, GRAIN","119,500","9,679,500","81"
"1965","FREEBORN","HAY","HAY","33,500","N/A","N/A"
"1965","FREEBORN","HAY","HAY, ALFALFA","30,100","N/A","N/A"
"1965","FREEBORN","OATS","OATS","29,500","1,888,000","64"
"1965","FREEBORN","SOYBEANS","SOYBEANS","78,200","1,876,800","24"
"1965","FREEBORN","SUGARBEETS","SUGARBEETS","3,500","N/A","N/A"
"1965","FREEBORN","WHEAT","WHEAT","1,500","41,400","27.6"
"1965","FREEBORN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","1,400","39,200","28"
"1965","FREEBORN","WHEAT","WHEAT, SPRING, DURUM","100","2,200","22"
"1965","GRANT","BARLEY","BARLEY","23,400","1,029,600","44"
"1965","GRANT","CORN","CORN, GRAIN","36,400","1,456,000","40"
"1965","GRANT","FLAXSEED","FLAXSEED","14,200","170,400","12"
"1965","GRANT","HAY","HAY","21,600","N/A","N/A"
"1965","GRANT","HAY","HAY, ALFALFA","18,100","N/A","N/A"
"1965","GRANT","OATS","OATS","57,500","3,392,500","59"
"1965","GRANT","SOYBEANS","SOYBEANS","31,400","439,600","14"
"1965","GRANT","WHEAT","WHEAT","20,400","448,700","22"
"1965","GRANT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","20,300","446,600","22"
"1965","GRANT","WHEAT","WHEAT, SPRING, DURUM","100","2,100","21"
"1965","HENNEPIN","BARLEY","BARLEY","100","3,500","35"
